(job_title, location) pair counts
Source: data\structured_jobs_20.05_normalized_cleaned.jsonl
Total records: 7635
Unique pairs:  404
---------------------------------------------------------------------------
 Count  Job Title                                 Location
     6  Data Engineer / Analyst                   Geneva
     6  DevOps / Platform Engineer                St. Gallen
     5  Others                                    Schaffhausen
     5  Data Engineer / Analyst                   Fribourg
     5  IT Project Manager                        Neuchâtel
     5  ERP Consultant                            Vaud
     5  IT Support / Helpdesk                     Neuchâtel
     5  ERP Consultant                            Schaffhausen
     5  Business Analyst                          Basel-Landschaft
     5  System Administrator                      Zug
     5  SAP Consultant                            Geneva
     5  IT Consultant                             Zug
     5  Business Analyst                          Valais
     5  IT Architect                              Basel-Stadt
     5  ERP Consultant                            Thurgau
     5  IT Manager / Team Lead                    Fribourg
     5  Others                                    Schwyz
     5  IT Consultant                             Basel-Stadt
     4  Abacus Specialist                         Basel-Stadt
     4  IT Support / Helpdesk                     Jura
     4  Others                                    Fribourg
     4  Product Manager / Owner                   Graubünden
     4  IT Support / Helpdesk                     Schwyz
     4  Business Analyst                          Others
     4  IT Project Manager                        Fribourg
     4  Abacus Specialist                         Thurgau
     4  Data Engineer / Analyst                   Schwyz
     4  IT Support / Helpdesk                     Uri
     4  IT Project Manager                        Valais
     4  IT Project Manager                        Thurgau
     4  Business Analyst                          Thurgau
     4  Business Analyst                          Neuchâtel
     4  System Administrator                      Fribourg
     4  Network Engineer                          Basel-Landschaft
     4  IT Project Manager                        Basel-Landschaft
     4  QA / Test Engineer                        Aargau
     4  IT Consultant                             Basel-Landschaft
     4  System Administrator                      Graubünden
     4  Software Engineer / Developer             Jura
     4  Cybersecurity Specialist                  Thurgau
     3  SAP Consultant                            Thurgau
     3  Product Manager / Owner                   Geneva
     3  Network Engineer                          Valais
     3  Cybersecurity Specialist                  Schwyz
     3  Business Analyst                          Zug
     3  DevOps / Platform Engineer                Zug
     3  System Engineer                           Valais
     3  IT Architect                              Schaffhausen
     3  IT Project Manager                        Schaffhausen
     3  QA / Test Engineer                        Multiple Cantons
     3  IT Consultant                             Schaffhausen
     3  DevOps / Platform Engineer                Multiple Cantons
     3  Cloud Engineer / Architect                Geneva
     3  System Administrator                      Thurgau
     3  IT Architect                              Neuchâtel
     3  System Administrator                      Neuchâtel
     3  Data Engineer / Analyst                   Valais
     3  IT Architect                              Graubünden
     3  QA / Test Engineer                        Vaud
     3  Software Engineer / Developer             Not Specified
     3  IT Manager / Team Lead                    Uri
     3  ERP Consultant                            Zug
     3  Product Manager / Owner                   Thurgau
     3  IT Consultant                             Valais
     3  DevOps / Platform Engineer                Vaud
     3  IT Consultant                             Others
     3  QA / Test Engineer                        Lucerne
     3  Database Administrator                    Geneva
     3  Business Analyst                          Schaffhausen
     3  IT Support / Helpdesk                     Obwalden
     3  Database Administrator                    Basel-Stadt
     3  Network Engineer                          Solothurn
     3  Data Engineer / Analyst                   Basel-Landschaft
     2  ERP Consultant                            Basel-Stadt
     2  Abacus Specialist                         St. Gallen
     2  Product Manager / Owner                   Others
     2  IT Project Manager                        Others
     2  Product Manager / Owner                   Solothurn
     2  Database Administrator                    Vaud
     2  DevOps / Platform Engineer                Others
     2  IT Consultant                             Uri
     2  Cybersecurity Specialist                  St. Gallen
     2  Data Engineer / Analyst                   Schaffhausen
     2  System Engineer                           Neuchâtel
     2  QA / Test Engineer                        Basel-Stadt
     2  DevOps / Platform Engineer                Valais
     2  ERP Consultant                            Graubünden
     2  IT Manager / Team Lead                    Schaffhausen
     2  ERP Consultant                            Neuchâtel
     2  IT Consultant                             Thurgau
     2  SAP Consultant                            Neuchâtel
     2  System Administrator                      Jura
     2  Cybersecurity Specialist                  Neuchâtel
     2  Business Analyst                          Graubünden
     2  IT Architect                              Zug
     2  SAP Consultant                            Fribourg
     2  Product Manager / Owner                   Schwyz
     2  IT Consultant                             Neuchâtel
     2  Network Engineer                          Fribourg
     2  IT Architect                              Others
     2  SAP Consultant                            Schaffhausen
     2  IT Architect                              Geneva
     2  DevOps / Platform Engineer                Thurgau
     2  System Administrator                      Schwyz
     2  IT Project Manager                        Uri
     2  IT Consultant                             Graubünden
     2  Database Administrator                    Schwyz
     2  Abacus Specialist                         Zug
     2  IT Project Manager                        Schwyz
     2  Others                                    Valais
     2  DevOps / Platform Engineer                Solothurn
     2  Data Engineer / Analyst                   Thurgau
     2  Network Engineer                          Thurgau
     2  Network Engineer                          Graubünden
     2  ERP Consultant                            Valais
     2  IT Consultant                             Fribourg
     2  IT Architect                              Thurgau
     2  QA / Test Engineer                        Neuchâtel
     2  Product Manager / Owner                   Valais
     1  Cloud Engineer / Architect                Others
     1  DevOps / Platform Engineer                Graubünden
     1  System Administrator                      Others
     1  Cybersecurity Specialist                  Jura
     1  ERP Consultant                            Basel-Landschaft
     1  Cloud Engineer / Architect                Uri
     1  QA / Test Engineer                        Others
     1  DevOps / Platform Engineer                Uri
     1  DevOps / Platform Engineer                Basel-Landschaft
     1  IT Consultant                             Schwyz
     1  SAP Consultant                            Vaud
     1  DevOps / Platform Engineer                Jura
     1  ERP Consultant                            Others
     1  Database Administrator                    Others
     1  IT Manager / Team Lead                    Obwalden
     1  Cloud Engineer / Architect                Graubünden
     1  Database Administrator                    Aargau
     1  IT Manager / Team Lead                    Jura
     1  IT Architect                              Glarus
     1  IT Support / Helpdesk                     Glarus
     1  IT Manager / Team Lead                    Glarus
     1  Scrum Master / Agile Coach                Solothurn
     1  Product Manager / Owner                   Glarus
     1  IT Project Manager                        Glarus
     1  DevOps / Platform Engineer                Schwyz
     1  Product Manager / Owner                   Basel-Landschaft
     1  Scrum Master / Agile Coach                Zug
     1  Cloud Engineer / Architect                Obwalden
     1  Network Engineer                          Others
     1  System Engineer                           Appenzell Ausserrhoden
     1  System Engineer                           Jura
     1  IT Manager / Team Lead                    Nidwalden
     1  Database Administrator                    Zug
     1  ERP Consultant                            Geneva
     1  Abacus Specialist                         Uri
     1  Business Analyst                          Jura
     1  IT Consultant                             Solothurn
     1  IT Support / Helpdesk                     Nidwalden
     1  Database Administrator                    Solothurn
     1  IT Architect                              Schwyz
     1  QA / Test Engineer                        Basel-Landschaft
     1  System Engineer                           Uri
     1  Software Engineer / Developer             Uri
     1  Abacus Specialist                         Aargau
     1  QA / Test Engineer                        Graubünden
     1  IT Architect                              Fribourg
     1  Product Manager / Owner                   Basel-Stadt
